,TOTAL_FAC,TOTAL_NUMBER_BEDS,COUNT_NOER_FAC,COUNT_ER_FAC,ER_BEDS,TOTALFAC_PER_POP,TOTALBEDS_PER_POP,ERFAC_PER_POP,ERBEDS_PER_POP,ERFAC_PER_AREA,COUNTY,DEATHRATES19,DEATHCOUNTS19,DEATHRATES20,DEATHCOUNTS20,COUNTS_GR19,COUNTS_GR20
0,3781,65542,3708,72,20947,37.92563526191357,657.4244872616608,0.722201993879338,210.11062730264575,0.017742287996100108,Los Angeles,6.7,707.0,12.4,1300.0,42.25352112676056,83.87553041018387
1,483,10940,464,19,4079,21.88739095955591,495.75167100940297,0.8609946754276651,184.8419621615498,0.0009472973377138326,San Bernardino,6.1,133.0,12.95,288.0,25.471698113207548,116.54135338345866
2,482,14362,456,26,5968,15.180480799211372,452.32793617899114,0.8188641095010283,187.96080790392836,0.0328781964832936,Orange,8.13,272.0,15.45,503.0,7.936507936507936,84.92647058823529
3,421,16456,403,18,6260,12.577413832765208,491.62451789069894,0.5377516603082512,187.01807741831402,0.0042789179241590905,San Diego,8.92,314.0,15.14,528.0,17.16417910447761,68.15286624203821
4,340,9074,327,13,2894,20.232314576787584,539.9647719699133,0.7735884985242312,172.2127011330096,0.017589135842140342,Alameda,5.75,103.0,8.09,144.0,83.92857142857143,39.80582524271845
5,300,9170,283,17,3512,11.904478464798457,363.88022507400615,0.674587113005246,139.36176122790727,0.0023590176424370846,Riverside,9.77,245.0,16.05,400.0,70.13888888888889,63.26530612244898
6,238,3456,230,8,1417,28.274965725514235,410.58101490494624,0.9504190159836718,168.34296820610786,0.004340718564297035,Ventura,10.05,89.0,17.07,141.0,-6.315789473684211,58.42696629213483
7,211,7433,203,8,2935,13.365596574353258,470.8363949628804,0.5067524767527302,185.91481490865786,0.008290669166645552,Sacramento,7.39,119.0,6.81,107.0,70.0,-10.084033613445378
8,210,9263,199,11,3492,10.943883932293838,482.72950888018005,0.5732510631201534,181.98115567414325,0.00852569993954807,Santa Clara,4.12,88.0,7.1,143.0,46.666666666666664,62.5
9,182,6579,175,7,1732,17.959344779948687,649.2007104795738,0.6907440299980264,170.90980856522597,0.0011747290309848037,Fresno,4.86,48.0,7.01,71.0,37.142857142857146,47.91666666666667
