,TOTAL_FAC,TOTAL_NUMBER_BEDS,COUNT_NOER_FAC,COUNT_ER_FAC,ER_BEDS,TOTALFAC_PER_POP,TOTALBEDS_PER_POP,ERFAC_PER_POP,ERBEDS_PER_POP,ERFAC_PER_AREA,COUNTY,DEATHRATES19,DEATHCOUNTS19,DEATHRATES20,DEATHCOUNTS20,COUNTS_GR19,COUNTS_GR20
28,28,488,25,3,118,32.76961788284862,571.1276259582188,3.5110304874480662,138.1005325062906,0.0008555889753642695,Mendocino,21.12,18.0,25.84,20.0,28.57142857142857,11.11111111111111
29,27,1097,25,2,328,9.928040094573776,403.37259199064556,0.7354103773758351,120.60730188963697,0.0044927345131767155,Santa Cruz,10.47,29.0,9.65,26.0,26.08695652173913,-10.344827586206897
30,24,2518,22,2,351,17.692069529833255,1856.1929615050053,1.4743391274861044,258.7465168738113,0.0026724844088637273,Napa,2.29,3.0,5.2,8.0,-57.14285714285714,166.66666666666669
31,24,521,22,2,268,13.289110127963056,288.484432361198,1.1074258439969213,148.39506309558746,0.00047885647207348875,Imperial,7.02,12.0,19.07,32.0,-25.0,166.66666666666669
32,22,862,20,2,464,13.904953323599866,544.8213529519584,1.264086665781806,293.268106461379,0.0009358488657982391,Madera,8.33,13.0,4.87,7.0,116.66666666666667,-46.15384615384615
33,21,739,19,2,153,9.49092486803095,333.9901655940415,0.903897606479138,69.14816689565406,0.001970896304866585,Yolo,3.91,9.0,4.04,10.0,80.0,11.11111111111111
34,21,495,21,0,0,21.381227282446012,503.98607165765605,0.0,0.0,0.0,Sutter,2.5,3.0,10.35,11.0,-62.5,266.66666666666663
35,17,498,16,1,173,10.893525401138053,319.1162146921618,0.6407956118316502,110.85764084687547,0.0007197243297277901,Kings,1.06,2.0,7.36,10.0,-50.0,400.0
36,17,518,15,2,236,8.627821170643077,262.89478625841843,1.0150377847815384,119.77445860422154,0.0011710277765089806,El Dorado,5.8,10.0,11.72,22.0,42.857142857142854,120.0
37,16,566,14,2,174,15.960258955201548,564.5941605402547,1.9950323694001935,173.56781613781683,0.0020881624754361637,Nevada,10.45,10.0,34.09,30.0,42.857142857142854,200.0
38,15,332,13,2,62,23.24716384601079,514.5372264583721,3.099621846134772,96.08827723017792,0.0015917395077800509,Lake,32.46,23.0,26.11,17.0,9.523809523809524,-26.08695652173913
39,13,126,11,2,61,29.87338281591102,289.54201806190684,4.595905048601695,140.17510398235171,0.0003185789461589724,Siskiyou,5.98,2.0,19.37,7.0,0.0,250.0
40,12,362,11,1,72,21.95389681668496,662.2758873033297,1.8294914013904136,131.7233809001098,0.000450267105744603,Tuolumne,1.6,2.0,3.48,2.0,100.0,0.0
41,11,307,10,1,221,13.598714303374955,379.5277537396464,1.2362467548522686,273.21053282235135,0.0015821708493015208,Yuba,10.82,8.0,10.64,9.0,100.0,12.5
42,9,205,8,1,76,13.389669126398477,304.9869078790764,1.4877410140442753,113.06831706736492,0.0003390160080933111,Tehama,1.02,1.0,3.38,2.0,-50.0,100.0
43,8,148,7,1,49,28.616397195593077,529.4033481184719,3.5770496494491346,175.27543282300758,0.000993747317212763,Del Norte,4.67,1.0,9.01,3.0,,200.0
44,7,121,6,1,25,22.96361906636486,396.94255814716405,3.280517009480694,82.01292523701736,0.00022020798477840107,Lassen,23.47,7.0,18.12,7.0,75.0,0.0
45,6,144,5,1,82,9.161704076958314,219.88089784699955,1.5269506794930523,125.20995571843031,0.0007200931439914492,San Benito,7.98,5.0,6.33,4.0,150.0,-20.0
46,6,147,5,1,48,27.51662462737904,674.1573033707865,4.586104104563174,220.13299701903233,0.0008690162806695712,Colusa,15.66,3.0,14.72,3.0,,0.0
47,5,161,3,2,62,27.434842249657066,883.4019204389575,10.973936899862826,340.1920438957476,0.00019644444444444443,Inyo,14.47,2.0,22.03,3.0,-33.33333333333333,50.0
48,5,123,4,1,47,17.096939647803044,420.58471533595485,3.419387929560609,160.7112326893486,0.0007610668490340229,Glenn,3.31,1.0,14.87,3.0,0.0,200.0
49,5,251,4,1,52,12.362161894872175,620.5805271225831,2.472432378974435,128.56648370667062,0.0016818671809326015,Amador,7.81,5.0,13.07,4.0,400.0,-20.0
50,5,34,4,1,34,29.76367640931008,202.39299958330852,5.952735281862015,202.39299958330852,0.0006902196559319008,Mariposa,23.4,4.0,3.87,1.0,,-75.0
51,5,124,4,1,25,10.794706276042229,267.7087156458473,2.1589412552084455,53.97353138021114,0.0009803795418726656,Calaveras,7.79,4.0,7.0,2.0,33.33333333333333,-50.0
52,4,78,1,3,78,21.120439305137545,411.84856645018215,15.84032947885316,411.84856645018215,0.001175067321400285,Plumas,11.77,2.0,6.28,1.0,0.0,-50.0
53,3,48,2,1,48,25.59508574353724,409.52137189659584,8.531695247845747,409.52137189659584,0.00031453800870232917,Trinity,19.65,2.0,0.0,0.0,0.0,-100.0
54,2,39,2,0,0,66.20324395895399,1290.9632571996028,0.0,0.0,0.0,Sierra,0.0,0.0,0.0,0.0,0.0,0.0
55,2,105,0,2,105,22.41398632746834,1176.734282192088,22.41398632746834,1176.734282192088,0.000510792334416676,Modoc,0.0,0.0,0.0,0.0,0.0,0.0
56,1,17,0,1,17,6.884207627702051,117.03152967093489,6.884207627702051,117.03152967093489,0.00032798430400660886,Mono,0.0,0.0,0.0,0.0,0.0,0.0
