,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
314,San Luis Obispo,20.56,57.0,2020,16.3,45.0,3.56,10.0,12.5,33.0
315,San Mateo,10.06,81.0,2020,9.53,77.0,1.13,9.0,7.41,58.0
316,Santa Barbara,3.54,16.0,2020,3.0,14.0,0.0,0.0,2.33,10.0
317,Santa Clara,7.1,143.0,2020,6.07,121.0,1.25,27.0,4.38,84.0
318,Santa Cruz,9.65,26.0,2020,6.75,17.0,3.52,10.0,5.58,13.0
319,Shasta,16.25,27.0,2020,10.01,17.0,7.02,11.0,4.51,7.0
320,Sierra,0.0,0.0,2020,0.0,0.0,0.0,0.0,0.0,0.0
321,Siskiyou,19.37,7.0,2020,19.37,7.0,0.0,0.0,4.84,2.0
322,Solano,8.71,39.0,2020,8.06,35.0,0.85,5.0,6.19,26.0
323,Sonoma,23.69,111.0,2020,23.42,110.0,1.24,7.0,21.84,102.0
324,Stanislaus,13.5,74.0,2020,12.45,68.0,0.96,5.0,10.16,54.0
325,Sutter,10.35,11.0,2020,7.75,8.0,4.74,5.0,3.83,4.0
326,Tehama,3.38,2.0,2020,1.04,1.0,2.34,1.0,1.04,1.0
327,Trinity,0.0,0.0,2020,0.0,0.0,0.0,0.0,0.0,0.0
328,Tulare,8.22,39.0,2020,8.04,38.0,0.18,1.0,6.25,29.0
329,Tuolumne,3.48,2.0,2020,2.64,1.0,0.0,0.0,2.64,1.0
