,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
73,Los Angeles,3.21,353.0,2016,2.44,266.0,1.18,134.0,0.56,58.0
74,Madera,6.48,11.0,2016,5.94,10.0,0.46,1.0,0.0,0.0
75,Marin,6.34,14.0,2016,4.05,9.0,3.08,6.0,0.58,1.0
76,Mariposa,2.22,1.0,2016,2.22,1.0,0.0,0.0,0.0,0.0
77,Mendocino,17.34,17.0,2016,11.13,13.0,6.21,4.0,1.53,1.0
78,Merced,9.82,23.0,2016,9.34,22.0,1.27,3.0,1.24,3.0
79,Modoc,0.0,0.0,2016,0.0,0.0,0.0,0.0,0.0,0.0
80,Mono,6.89,1.0,2016,0.0,0.0,0.0,0.0,0.0,0.0
81,Monterey,2.42,12.0,2016,0.85,4.0,0.95,5.0,0.18,1.0
82,Napa,1.64,2.0,2016,0.0,0.0,1.64,2.0,0.0,0.0
83,Nevada,9.85,8.0,2016,5.88,5.0,2.6,2.0,1.37,1.0
84,Orange,8.47,289.0,2016,6.06,210.0,2.6,84.0,1.03,33.0
85,Placer,3.75,14.0,2016,2.71,10.0,1.04,4.0,0.58,2.0
86,Plumas,0.0,0.0,2016,0.0,0.0,0.0,0.0,0.0,0.0
87,Riverside,4.62,114.0,2016,2.41,61.0,2.0,48.0,0.44,10.0
88,Sacramento,3.4,55.0,2016,2.44,40.0,0.8,12.0,0.83,13.0
89,San Benito,3.85,2.0,2016,1.64,1.0,2.22,1.0,0.0,0.0
90,San Bernardino,1.67,36.0,2016,0.96,21.0,0.52,11.0,0.21,5.0
91,San Diego,7.1,253.0,2016,4.92,175.0,2.21,79.0,0.87,30.0
92,San Francisco,9.2,94.0,2016,6.87,70.0,3.21,33.0,1.53,16.0
93,San Joaquin,6.8,53.0,2016,6.04,47.0,0.88,7.0,0.64,5.0
94,San Luis Obispo,6.96,21.0,2016,2.08,7.0,2.75,8.0,0.0,0.0
95,San Mateo,2.54,21.0,2016,2.15,18.0,0.28,2.0,0.24,2.0
96,Santa Barbara,7.38,32.0,2016,3.92,16.0,3.25,15.0,0.38,2.0
97,Santa Clara,3.24,68.0,2016,2.22,48.0,1.01,21.0,0.48,10.0
98,Santa Cruz,12.32,35.0,2016,6.12,18.0,5.24,14.0,0.91,2.0
99,Shasta,8.64,17.0,2016,3.91,9.0,1.59,3.0,0.55,1.0
100,Sierra,0.0,0.0,2016,0.0,0.0,0.0,0.0,0.0,0.0
101,Siskiyou,21.98,10.0,2016,15.13,7.0,8.94,3.0,3.09,1.0
102,Solano,3.3,15.0,2016,2.93,13.0,0.66,3.0,0.0,0.0
103,Sonoma,4.83,25.0,2016,3.58,19.0,1.12,5.0,0.85,4.0
104,Stanislaus,2.56,14.0,2016,1.78,10.0,0.38,2.0,0.19,1.0
105,Sutter,4.36,4.0,2016,4.36,4.0,0.0,0.0,0.0,0.0
106,Tehama,3.3,2.0,2016,1.04,1.0,2.27,1.0,0.0,0.0
107,Trinity,13.4,2.0,2016,6.7,1.0,6.7,1.0,6.7,1.0
108,Tulare,3.01,14.0,2016,2.15,10.0,0.2,1.0,0.0,0.0
109,Tuolumne,11.34,7.0,2016,7.45,5.0,2.77,1.0,1.12,1.0
110,Alameda,2.03,37.0,2017,1.36,25.0,0.36,7.0,0.32,6.0
111,Alpine,0.0,0.0,2017,0.0,0.0,0.0,0.0,0.0,0.0
112,Amador,2.71,2.0,2017,2.71,2.0,0.0,0.0,0.0,0.0
113,Butte,7.57,17.0,2017,6.26,13.0,1.31,4.0,0.61,1.0
114,Calaveras,0.86,1.0,2017,0.86,1.0,0.0,0.0,0.0,0.0
115,Colusa,0.0,0.0,2017,0.0,0.0,0.0,0.0,0.0,0.0
116,Contra Costa,4.35,52.0,2017,3.32,40.0,1.4,16.0,1.33,14.0
117,Del Norte,12.56,4.0,2017,8.46,3.0,4.1,1.0,0.0,0.0
118,El Dorado,2.38,5.0,2017,1.85,3.0,0.29,1.0,0.66,1.0
119,Fresno,4.58,47.0,2017,3.79,39.0,0.28,3.0,0.4,4.0
120,Glenn,0.0,0.0,2017,0.0,0.0,0.0,0.0,0.0,0.0
121,Humboldt,21.03,28.0,2017,15.49,21.0,4.68,6.0,0.85,1.0
122,Imperial,4.57,8.0,2017,0.48,1.0,0.0,0.0,0.0,0.0
123,Inyo,3.19,1.0,2017,3.19,1.0,0.0,0.0,0.0,0.0
124,Kern,8.45,75.0,2017,5.98,52.0,2.95,28.0,1.41,12.0
125,Kings,4.52,6.0,2017,4.52,6.0,0.86,1.0,0.0,0.0
