,COUNT_FAC,TOTAL_NUMBER_BEDS,FAC_DENSITY,BEDS_DENSITY,County,RATES19,COUNTS19,RATES20,COUNTS20,COUNTS_GR19,COUNTS_GR20,RATES_GR19,RATES_GR20,CPM_rate,CPM_number
0,72,20947,0.722201993879338,210.11062730264575,Los Angeles,6.7,707.0,12.4,1300.0,42.25352112676056,83.87553041018387,46.60831509846827,85.07462686567165,20.8,2061100.0
1,26,5968,0.8188641095010283,187.96080790392836,Orange,8.13,272.0,15.45,503.0,7.936507936507936,84.92647058823529,8.98123324396784,90.03690036900366,19.1,595800.0
2,19,4079,0.8609946754276651,184.8419621615498,San Bernardino,6.1,133.0,12.95,288.0,25.471698113207548,116.54135338345866,27.882599580712792,112.29508196721312,15.3,323700.0
3,18,6260,0.5377516603082512,187.01807741831402,San Diego,8.92,314.0,15.14,528.0,17.16417910447761,68.15286624203821,20.703653585926933,69.73094170403589,17.8,576600.0
4,17,3512,0.674587113005246,139.36176122790727,Riverside,9.77,245.0,16.05,400.0,70.13888888888889,63.26530612244898,70.20905923344947,64.27840327533266,16.1,388300.0
5,13,2894,0.7735884985242312,172.2127011330096,Alameda,5.75,103.0,8.09,144.0,83.92857142857143,39.80582524271845,85.48387096774192,40.69565217391304,14.1,229400.0
6,11,3492,0.5732510631201534,181.98115567414325,Santa Clara,4.12,88.0,7.1,143.0,46.666666666666664,62.5,45.583038869257955,72.33009708737863,14.3,271500.0
7,10,1514,1.095182293092685,165.81059917423255,Kern,12.79,117.0,24.32,222.0,27.173913043478258,89.74358974358975,22.275334608030576,90.14855355746678,16.7,145000.0
8,10,2757,1.1321758721999875,312.14088796553654,San Francisco,26.96,279.0,44.51,443.0,89.79591836734694,58.78136200716846,79.61359093937375,65.09643916913946,17.0,146500.0
9,8,2935,0.5067524767527302,185.91481490865786,Sacramento,7.39,119.0,6.81,107.0,70.0,-10.084033613445378,58.924731182795675,-7.8484438430311245,14.8,224500.0
10,8,1666,0.6899287648550287,143.67766528105975,Contra Costa,7.86,91.0,12.61,144.0,10.975609756097562,58.24175824175825,15.249266862170089,60.432569974554696,13.8,156900.0
11,8,1417,0.9504190159836718,168.34296820610786,Ventura,10.05,89.0,17.07,141.0,-6.315789473684211,58.42696629213483,-9.78456014362657,69.8507462686567,16.3,136000.0
12,7,1732,0.6907440299980264,170.90980856522597,Fresno,4.86,48.0,7.01,71.0,37.142857142857146,47.91666666666667,38.06818181818183,44.238683127572,17.2,167600.0
13,7,1367,0.9182049879518389,179.31231693288052,San Mateo,7.87,65.0,10.06,81.0,66.66666666666666,24.615384615384617,62.939958592132506,27.82719186785261,15.1,114700.0
14,7,1152,0.8957569274001806,147.41599719500115,San Joaquin,5.3,39.0,11.1,85.0,50.0,117.94871794871796,52.73775216138327,109.43396226415094,15.4,113000.0
15,6,713,1.2352744985814932,146.79178624810075,Sonoma,13.09,65.0,23.69,111.0,51.162790697674424,70.76923076923077,41.8201516793066,80.97784568372805,14.4,70700.0
16,5,698,1.107471222360287,154.60298264149606,Solano,7.32,34.0,8.71,39.0,78.94736842105263,14.705882352941178,82.089552238806,18.989071038251375,11.8,51500.0
17,5,925,1.1162283981899241,206.50225366513592,Santa Barbara,5.54,26.0,3.54,16.0,-21.21212121212121,-38.46153846153847,-21.86177715091678,-36.101083032490976,20.7,87200.0
18,5,1209,0.8997207266864365,217.55247171278037,Stanislaus,8.57,46.0,13.5,74.0,31.428571428571427,60.86956521739131,43.79194630872484,57.52625437572928,14.4,78200.0
19,4,268,2.9809369084703325,199.72277286751228,Humboldt,19.05,24.0,18.34,24.0,50.0,0.0,70.54610564010744,-3.7270341207349125,19.5,25600.0
20,4,766,0.9210583881938736,176.3826813391268,Monterey,4.46,20.0,5.85,25.0,150.0,25.0,157.80346820809248,31.165919282511208,17.3,83000.0
21,4,449,1.4153029632905794,158.86775762936756,San Luis Obispo,8.12,21.0,20.56,57.0,61.53846153846154,171.42857142857142,89.27738927738926,153.20197044334975,15.5,40800.0
22,3,78,15.84032947885316,411.84856645018215,Plumas,11.77,2.0,6.28,1.0,0.0,-50.0,-35.00828271673109,-46.64401019541206,12.8,14900.0
23,3,798,0.7311242009421753,194.47903745061865,Placer,7.39,30.0,12.22,45.0,275.0,50.0,280.92783505154637,65.35859269282817,11.5,44500.0
24,3,467,1.5237708248679398,237.20032507110932,Butte,5.83,12.0,11.54,26.0,-29.411764705882355,116.66666666666667,-10.992366412213737,97.94168096054887,17.9,39000.0
25,3,710,0.6391042315091169,151.2546681238243,Tulare,2.52,12.0,8.22,39.0,71.42857142857143,225.0,45.66473988439307,226.19047619047623,14.3,75600.0
26,3,118,3.5110304874480662,138.1005325062906,Mendocino,21.12,18.0,25.84,20.0,28.57142857142857,11.11111111111111,54.16058394160586,22.348484848484844,15.8,23400.0
27,3,607,1.6590901549590207,335.6892413533751,Shasta,11.11,18.0,16.25,27.0,80.0,50.0,104.60405156537753,46.26462646264628,15.9,28000.0
28,3,490,1.166616113301757,190.54729850595365,Marin,9.27,22.0,14.06,33.0,175.0,50.0,167.91907514450867,51.672060409924505,15.8,39900.0
29,2,153,0.903897606479138,69.14816689565406,Yolo,3.91,9.0,4.04,10.0,80.0,11.11111111111111,76.92307692307693,3.3248081841432193,20.9,42100.0
30,2,328,0.7354103773758351,120.60730188963697,Santa Cruz,10.47,29.0,9.65,26.0,26.08695652173913,-10.344827586206897,23.321554770318027,-7.831900668576888,17.0,44000.0
31,2,61,4.595905048601695,140.17510398235171,Siskiyou,5.98,2.0,19.37,7.0,0.0,250.0,65.19337016574586,223.91304347826085,12.8,14900.0
32,2,174,1.9950323694001935,173.56781613781683,Nevada,10.45,10.0,34.09,30.0,42.857142857142854,200.0,66.40127388535029,226.22009569377997,17.3,17500.0
33,2,62,10.973936899862826,340.1920438957476,Inyo,14.47,2.0,22.03,3.0,-33.33333333333333,50.0,-18.57062464828362,52.24602626123013,13.2,23700.0
34,2,236,1.0150377847815384,119.77445860422154,El Dorado,5.8,10.0,11.72,22.0,42.857142857142854,120.0,40.09661835748793,102.06896551724141,10.4,19700.0
35,2,351,1.4743391274861044,258.7465168738113,Napa,2.29,3.0,5.2,8.0,-57.14285714285714,166.66666666666669,-42.31738035264484,127.07423580786026,13.7,18600.0
36,2,105,22.41398632746834,1176.734282192088,Modoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,14900.0
37,2,224,0.7024001011456146,78.66881132830883,Merced,7.74,20.0,9.98,29.0,0.0,45.0,6.027397260273978,28.9405684754522,13.4,35800.0
38,2,464,1.264086665781806,293.268106461379,Madera,8.33,13.0,4.87,7.0,116.66666666666667,-46.15384615384615,109.29648241206029,-41.53661464585834,18.5,27500.0
39,2,62,3.099621846134772,96.08827723017792,Lake,32.46,23.0,26.11,17.0,9.523809523809524,-26.08695652173913,42.995594713656395,-19.562538508934075,15.8,23400.0
40,2,268,1.1074258439969213,148.39506309558746,Imperial,7.02,12.0,19.07,32.0,-25.0,166.66666666666669,-30.287984111221455,171.65242165242168,19.5,33400.0
41,1,25,2.1589412552084455,53.97353138021114,Calaveras,7.79,4.0,7.0,2.0,33.33333333333333,-50.0,-19.773429454170966,-10.141206675224646,13.2,23700.0
42,1,48,4.586104104563174,220.13299701903233,Colusa,15.66,3.0,14.72,3.0,,0.0,,-6.002554278416344,14.3,17800.0
43,1,72,1.8294914013904136,131.7233809001098,Tuolumne,1.6,2.0,3.48,2.0,100.0,0.0,-36.507936507936506,117.49999999999999,16.4,23700.0
44,1,49,3.5770496494491346,175.27543282300758,Del Norte,4.67,1.0,9.01,3.0,,200.0,,92.93361884368309,12.8,14900.0
45,1,48,8.531695247845747,409.52137189659584,Trinity,19.65,2.0,0.0,0.0,0.0,-100.0,163.05220883534136,-100.0,13.2,17800.0
