County,County_group,CPM_rate,CPM_rate_margin_ error,CPM_number,CPM_number_margin_error ,official_rate,official_rate_margin_error,CPM_child_rate,CPM_child_rate_margin_error,CPM_threshold,increase_no_safety,increase_no_safety_margin_error,increase_no_CalFresh ,increase_no_CalFresh_margin_error,increase_no_CalWorks_GA,increase_no_CalWorks_GA_margin_error,increase_no_EITC,increase_no_EITC_margin_error,increase_no_CTC,increase_no_CTC_margin_error,increase_no_CALEITC_YCTC,increase_no_CALEITC_YCTC_margin_error
Mono,Alpine/Amador/Calaveras/Inyo/Mariposa/Mono/Tuolumne,13.2%,2.7," 23,700 "," 4,800 ",10.9%,2.2,13.6%,5.9,"$29,198",5.0,1.3,1.0,0.7,0.4,0.4,0.9,0.7,0.4,0.5,0.1,0.3
Monterey,Monterey/San Benito,17.3%,1.6," 83,000 "," 7,700 ",11.6%,1.4,21.9%,3.0,"$34,371",7.1,1.7,1.5,0.6,0.6,0.5,2.0,1.0,1.6,0.9,0.2,0.3
Napa,Napa,13.7%,3.1," 18,600 "," 4,200 ",6.4%,1.9,15.6%,6.0,"$37,843",4.6,1.8,0.8,0.9,0.2,0.3,1.3,1.5,0.7,0.7,0.1,0.1
Nevada,Nevada/Sierra,17.3%,3.9," 17,500 "," 4,000 ",10.7%,3.3,17.5%,9.2,"$33,298",5.8,3.3,2.0,2.3,0.7,1.1,1.8,2.2,1.2,2.0,0.0,0.1
Orange,Orange,19.1%,0.8," 595,800 "," 25,100 ",9.9%,0.6,23.5%,1.7,"$38,279",3.7,0.5,0.8,0.2,0.3,0.1,0.9,0.2,0.8,0.2,0.0,0.0
Placer,Placer,11.5%,1.4," 44,500 "," 5,500 ",7.5%,1.3,10.4%,2.3,"$34,605",2.4,0.9,0.4,0.3,0.1,0.2,0.7,0.4,0.3,0.4,0.0,0.1
Plumas,Del Norte/Lassen/Modoc/Plumas/Siskiyou,12.8%,2.4," 14,900 "," 2,800 ",15.0%,2.5,11.2%,5.4,"$26,638",9.9,2.4,2.4,1.5,1.0,0.9,1.3,0.9,0.5,0.5,0.2,0.5
Riverside,Riverside,16.1%,0.9," 388,300 "," 21,100 ",12.1%,0.7,15.9%,1.6,"$31,800",7.0,0.6,1.5,0.3,0.7,0.2,1.9,0.3,1.1,0.3,0.1,0.0
Sacramento,Sacramento,14.8%,1.1," 224,500 "," 16,500 ",12.9%,1.0,15.2%,1.9,"$30,932",8.4,0.9,1.9,0.4,1.1,0.3,1.7,0.5,0.9,0.3,0.1,0.1
San Benito,Monterey/San Benito,17.3%,1.6," 83,000 "," 7,700 ",11.6%,1.4,21.9%,3.0,"$34,371",7.1,1.7,1.5,0.6,0.6,0.5,2.0,1.0,1.6,0.9,0.2,0.3
San Bernardino,San Bernardino,15.3%,1.0," 323,700 "," 20,400 ",14.5%,0.9,16.2%,1.6,"$30,814",10.7,1.0,2.5,0.5,1.5,0.4,2.2,0.5,1.2,0.4,0.0,0.0
San Diego,San Diego,17.8%,0.7," 576,600 "," 24,300 ",10.6%,0.6,19.3%,1.3,"$35,971",5.4,0.6,1.1,0.3,0.5,0.2,1.3,0.3,1.0,0.3,0.1,0.1
San Francisco,San Francisco,17.0%,1.3," 146,500 "," 10,700 ",9.0%,0.9,18.6%,3.1,"$41,864",3.5,0.6,0.6,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.2
San Joaquin,San Joaquin,15.4%,1.4," 113,000 "," 10,400 ",14.4%,1.4,16.5%,2.5,"$29,761",9.6,1.3,1.6,0.5,1.2,0.5,2.3,0.8,1.3,0.6,0.2,0.2
San Luis Obispo,San Luis Obispo,15.5%,2.1," 40,800 "," 5,400 ",10.8%,1.9,14.1%,4.9,"$33,985",2.8,1.4,0.4,0.4,0.3,0.3,1.0,0.8,0.4,0.5,0.0,
San Mateo,San Mateo,15.1%,1.3," 114,700 "," 9,800 ",5.2%,0.8,17.3%,2.7,"$46,196",1.3,0.5,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.0,
Santa Barbara,Santa Barbara,20.7%,2.2," 87,200 "," 9,100 ",11.8%,1.5,22.8%,4.0,"$35,771",5.7,1.4,1.1,0.5,0.3,0.3,1.0,0.5,1.5,0.8,0.0,0.1
Santa Clara,Santa Clara,14.3%,0.8," 271,500 "," 15,900 ",6.4%,0.5,14.6%,1.6,"$43,092",2.6,0.5,0.6,0.3,0.3,0.3,0.6,0.3,0.5,0.3,0.0,0.1
Santa Cruz,Santa Cruz,17.0%,2.6," 44,000 "," 6,800 ",11.0%,2.3,16.3%,5.7,"$36,855",5.7,2.2,1.3,1.1,0.6,0.7,1.0,0.9,0.6,0.8,0.0,
Shasta,Shasta,15.9%,2.5," 28,000 "," 4,400 ",14.6%,2.6,12.0%,4.6,"$28,768",7.7,2.2,1.8,0.9,0.3,0.4,1.8,1.1,0.9,0.8,0.0,
Sierra,Nevada/Sierra,17.3%,3.9," 17,500 "," 4,000 ",10.7%,3.3,17.5%,9.2,"$33,298",5.8,3.3,2.0,2.3,0.7,1.1,1.8,2.2,1.2,2.0,0.0,0.1
Siskiyou,Del Norte/Lassen/Modoc/Plumas/Siskiyou,12.8%,2.4," 14,900 "," 2,800 ",15.0%,2.5,11.2%,5.4,"$26,638",9.9,2.4,2.4,1.5,1.0,0.9,1.3,0.9,0.5,0.5,0.2,0.5
Solano,Solano,11.8%,1.4," 51,500 "," 6,100 ",8.5%,1.2,13.2%,2.6,"$34,375",5.5,1.3,1.4,0.6,0.8,0.4,1.2,0.6,0.8,0.6,0.0,0.1
