SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
132,2020,000000,,,1,41-424300,"            Apparel, Piece Goods & Notions Merch Wholesalers","20,400","20,200","21,000","22,600","23,800","25,300","25,600","27,500","28,100","28,800","30,100","29,500","29,200","27,900","27,500","28,200","29,500","30,400","31,700","29,900","31,400","31,900","33,000","35,600","38,600","40,600","40,600","40,600","40,600","39,300","31,900",
133,2020,000000,,,1,41-424400,            Grocery & Related Products Merchant Wholesalers,"64,500","65,300","66,100","68,100","68,300","67,800","69,900","71,900","73,300","75,800","79,100","79,800","81,500","83,300","85,100","86,500","89,300","93,700","95,400","94,800","96,900","97,700","99,200","101,600","103,800","105,200","107,700","110,100","112,400","110,800","103,100",
134,2020,000000,,,1,41-424600,            Chemical & Allied Products Merchant Wholesalers,"12,600","12,300","11,800","11,900","12,000","12,100","12,300","12,800","12,900","13,500","14,100","14,300","14,000","14,300","13,600","13,400","13,500","13,300","13,200","12,400","12,300","12,100","12,500","13,100","13,300","13,900","14,100","14,400","14,900","14,700","14,600",
135,2020,000000,,,1,41-424900,            Misc Nondurable Goods Merchant Wholesalers,"32,100","32,700","33,000","33,200","34,700","36,900","39,300","40,900","42,200","44,100","46,300","48,900","50,100","50,200","50,500","51,800","54,000","56,200","53,900","47,600","47,100","47,900","49,700","50,600","50,100","49,400","49,200","49,500","48,900","48,000","44,100",
137,2020,000000,,,1,41-425000,          Wholesalers Electronic Markets Agents & Brokers,"23,800","30,600","32,500","32,900","31,000","29,500","27,900","27,300","28,800","28,000","26,400","28,000","32,600","41,100","50,400","56,900","65,600","67,800","66,900","57,400","56,400","57,700","60,100","57,900","56,300","53,600","50,500","45,400","44,800","43,700","39,600",
138,2020,000000,,,1,42-000000,        Retail Trade,"1,445,500","1,391,000","1,371,300","1,357,600","1,361,700","1,385,100","1,410,600","1,444,500","1,476,000","1,511,500","1,562,300","1,574,700","1,581,300","1,587,200","1,616,600","1,657,900","1,678,900","1,689,100","1,640,300","1,522,000","1,516,500","1,545,400","1,569,600","1,593,900","1,627,100","1,660,100","1,678,900","1,688,900","1,684,300","1,657,800","1,523,600",
139,2020,000000,,,1,42-441000,          Motor Vehicle & Parts Dealer,"170,300","159,700","154,900","156,300","161,500","167,800","174,600","182,500","187,700","193,100","200,300","202,600","205,400","207,400","210,000","212,600","211,600","208,100","192,200","161,700","157,800","161,800","168,400","175,500","182,800","191,000","197,500","201,100","201,200","197,300","175,400",
140,2020,000000,,,1,42-441100,            Automobile Dealers,"104,100","97,500","93,800","95,900","100,400","104,100","108,700","112,500","116,200","121,300","127,500","131,500","136,400","138,100","139,300","141,200","140,600","137,400","125,400","101,400","99,000","102,700","107,600","113,100","118,800","125,900","131,400","134,400","134,600","131,700","114,400",
141,2020,000000,,,1,42-441200,            Other Motor Vehicle Dealers,"10,900","10,500","10,000","9,700","10,200","10,700","11,300","11,800","12,100","13,000","14,000","14,700","15,900","17,100","18,300","19,000","19,400","19,300","16,600","12,500","11,100","10,700","11,000","11,300","11,500","11,800","12,300","12,700","12,900","12,700","11,200",
142,2020,000000,,,1,42-441300,"            Auto Parts, Accessories & Tire Stores","55,200","51,800","51,100","50,600","50,900","52,900","54,700","58,100","59,300","58,800","58,800","56,400","53,100","52,200","52,400","52,300","51,500","51,400","50,100","47,800","47,800","48,400","49,800","51,100","52,500","53,300","53,800","54,000","53,600","52,800","49,800",
143,2020,000000,,,1,42-442000,          Furniture & Home Furnishings Stores,"50,900","46,600","45,100","43,300","43,300","45,400","45,700","47,000","50,000","54,900","60,900","60,900","61,700","63,500","65,200","67,500","69,100","66,400","59,100","49,900","50,100","51,400","50,500","50,500","52,700","54,100","54,700","55,300","55,000","53,000","44,200",
144,2020,000000,,,1,42-442100,            Furniture Stores,"26,400","23,000","21,300","20,200","20,300","21,300","21,000","21,800","23,200","24,700","27,100","27,300","27,500","28,600","29,700","31,100","31,900","30,100","25,300","22,000","21,900","22,100","21,200","20,200","20,300","20,400","21,100","21,700","21,900","21,300","18,500",
145,2020,000000,,,1,42-442200,            Home Furnishings Stores,"24,500","23,600","23,700","23,100","23,000","24,100","24,800","25,200","26,800","30,200","33,800","33,600","34,200","34,900","35,400","36,500","37,200","36,300","33,700","27,900","28,200","29,300","29,300","30,300","32,400","33,700","33,500","33,700","33,100","31,700","25,700",
146,2020,000000,,,1,42-443000,          Electronics & Appliance Stores,"63,800","61,600","59,700","61,000","63,300","68,400","76,500","81,500","84,300","87,900","91,600","86,000","79,400","78,300","77,900","81,000","81,700","80,400","77,100","64,700","64,400","67,000","64,800","61,500","61,200","63,200","65,200","64,600","62,900","59,700","55,400",
147,2020,000000,,,1,42-444000,          Building Material & Garden Equip Stores,"101,400","99,700","96,100","92,000","89,900","89,800","90,900","93,600","95,700","102,100","108,300","115,300","120,800","123,800","129,800","134,400","136,200","130,400","121,500","111,300","108,600","109,100","113,500","118,600","118,400","119,500","121,800","123,600","125,500","120,700","128,900",
148,2020,000000,,,1,42-444100,            Building Material & Supplies Dealers,"83,400","81,900","79,100","76,000","74,500","74,800","75,900","79,100","82,300","88,000","94,500","102,100","107,300","110,700","116,900","122,200","124,200","119,200","110,600","101,300","98,800","99,000","103,300","108,100","108,000","108,500","110,800","112,200","114,200","109,600","117,500",
151,2020,000000,,,1,42-445000,          Food & Beverage Stores,"286,900","284,900","282,900","276,400","275,200","277,600","283,400","288,100","290,600","298,700","299,700","309,700","314,600","315,700","315,600","322,900","326,200","334,600","334,500","328,900","327,800","329,400","333,100","338,800","349,600","357,600","359,200","360,200","357,700","357,000","361,400",
152,2020,000000,,,1,42-445100,            Grocery Stores,"240,800","237,400","237,800","231,400","229,500","231,200","235,400","239,600","241,600","248,600","248,600","257,800","263,600","268,100","270,500","276,900","282,100","290,000","290,800","288,000","286,400","287,500","290,700","296,800","306,800","314,300","315,800","316,400","313,900","313,300","321,800",
153,2020,000000,,,1,42-445200,            Specialty Food Stores,"29,600","31,700","30,400","31,300","32,400","33,000","34,700","35,400","36,100","37,300","38,300","39,500","38,500","35,400","33,200","33,900","31,400","31,700","31,000","28,700","28,600","28,700","28,400","27,300","27,600","27,800","27,600","27,600","27,400","26,600","23,700",
154,2020,000000,,,1,42-445300,"            Beer, Wine & Liquor Stores","16,400","15,700","14,700","13,700","13,300","13,400","13,300","13,100","12,900","12,800","12,900","12,500","12,400","12,300","12,000","12,100","12,700","12,900","12,600","12,300","12,800","13,200","14,000","14,800","15,200","15,600","15,900","16,100","16,400","17,100","16,000",
155,2020,000000,,,1,42-446000,          Health & Personal Care Stores,"91,100","96,800","93,100","88,800","87,800","88,900","93,000","95,000","95,100","96,700","100,800","105,000","103,700","103,100","104,100","103,200","104,000","106,800","107,700","105,500","103,600","104,100","106,900","108,600","108,700","109,800","113,800","116,700","116,600","115,200","104,600",
156,2020,000000,,,1,42-447000,          Gasoline Stations,"62,900","60,500","58,400","58,600","58,100","58,800","60,700","61,200","60,500","59,600","58,500","56,900","56,800","56,000","56,300","54,500","54,400","53,900","52,600","50,800","50,600","50,900","51,500","53,100","55,000","56,600","59,500","61,400","62,400","63,500","61,800",
157,2020,000000,,,1,42-448000,          Clothing & Clothing Accessories Stores,"165,000","156,700","153,500","152,900","152,900","150,100","146,100","150,100","153,700","158,000","165,200","167,900","173,700","176,900","182,100","191,200","191,600","200,400","198,400","176,100","181,300","188,400","192,700","193,400","195,200","194,100","194,400","196,200","194,200","187,900","137,200",
158,2020,000000,,,1,42-448100,            Clothing Stores,"123,000","115,400","114,000","114,700","115,400","112,500","108,900","111,800","114,000","118,300","125,100","127,300","133,700","137,300","141,900","151,100","149,600","158,000","158,100","139,400","144,400","150,600","153,300","152,500","152,900","150,100","149,700","151,900","150,800","145,500","105,800",
160,2020,000000,,,1,42-448300,"            Jewelry, Luggage & Leather Goods Stores","18,900","18,400","17,900","17,300","16,900","16,600","16,700","17,200","17,600","18,100","18,700","18,800","18,400","18,000","18,400","18,500","19,000","18,800","17,700","15,200","14,700","15,000","15,700","15,700","15,800","15,700","15,700","15,600","15,700","15,700","11,300",
162,2020,000000,,,1,42-451000,"          Sporting Goods, Hobby, Book & Music Stores","85,300","80,500","81,000","82,400","82,900","84,800","83,700","83,000","84,500","87,000","89,200","89,100","87,300","85,300","84,500","85,000","85,300","84,400","82,000","75,000","71,000","68,600","68,100","69,300","70,500","69,600","67,600","65,300","62,100","59,800","50,200",
163,2020,000000,,,1,42-451100,"            Sporting Goods, Hobby & Musical Instrument Store","51,000","48,300","48,900","49,800","50,500","50,800","49,700","49,600","50,500","52,300","54,700","55,800","55,400","55,200","55,900","56,800","58,500","59,800","59,700","55,800","55,300","56,300","57,100","58,800","60,300","59,500","57,700","55,900","53,100","50,700","43,900",
164,2020,000000,,,1,42-451200,"            Book, Periodical & Music Stores","34,200","32,300","32,100","32,500","32,400","34,000","34,000","33,400","33,900","34,700","34,500","33,300","31,900","30,100","28,500","28,200","26,800","24,700","22,300","19,100","15,700","12,200","10,900","10,500","10,200","10,200","9,900","9,300","9,000","9,000","6,300",
165,2020,000000,,,1,42-452000,          General Merchandise Stores,"242,200","224,800","230,600","230,200","227,800","228,800","225,600","229,100","236,300","230,300","234,700","232,500","235,800","239,900","254,800","268,900","281,200","285,300","280,200","274,200","279,200","289,300","290,400","288,900","292,000","299,400","298,300","293,400","292,800","288,600","268,300",
166,2020,000000,,,1,42-452200,            Department Stores,"173,900","154,300","154,500","155,700","152,300","154,100","151,500","157,000","165,800","159,000","162,400","157,500","151,600","141,900","151,100","160,900","167,100","163,800","153,700","144,200","143,600","143,600","132,700","125,800","128,500","131,400","126,000","118,600","113,600","106,400","79,700",
