SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
224,2020,000000,,,1,50-518000,"        Data Processing, Hosting & Related Services","12,300","12,700","12,100","11,600","11,200","11,600","12,700","14,200","16,200","20,700","32,600","29,300","21,200","19,300","19,000","20,200","21,500","21,200","20,900","19,600","18,900","19,300","21,300","24,300","27,400","33,400","38,900","42,900","47,000","52,000","54,400",
225,2020,000000,519000,,1,50-519000,        Other Information Services,"21,000","21,000","20,100","19,700","19,300","20,300","22,100","26,300","30,300","40,400","66,800","59,300","42,300","38,700","38,200","40,600","37,500","31,500","35,700","34,800","39,500","44,600","51,300","58,800","68,300","78,000","86,700","98,100","106,300","118,900","129,600",
226,2020,000000,520000-530000,,1,55-000000,      Financial Activities,"821,300","807,000","786,500","782,300","764,600","735,700","734,800","747,800","781,500","799,800","802,300","831,300","848,000","880,100","896,600","921,600","929,000","897,800","843,000","783,900","760,900","762,300","773,700","783,000","782,800","802,600","823,300","832,700","837,900","841,100","815,300",
227,2020,000000,,,1,55-520000,        Finance & Insurance,"574,900","560,600","547,700","545,000","525,400","496,700","493,900","501,600","527,500","539,000","539,600","564,100","579,700","607,700","620,000","637,800","640,300","614,000","566,900","528,900","512,500","515,100","522,800","524,000","517,300","530,600","545,300","547,500","543,400","538,800","535,200",
228,2020,000000,,,1,55-522000,          Credit Intermediation & Related Activities,"309,700","298,500","292,700","292,700","272,600","249,500","245,400","244,100","256,200","255,700","247,700","265,400","283,400","304,700","315,700","329,900","332,500","310,400","270,100","255,200","252,600","254,400","258,700","255,100","243,000","243,700","249,600","249,800","243,900","239,500","239,900",
229,2020,000000,,,1,55-522100,            Depository Credit Intermediation,"252,200","240,400","228,200","219,200","202,200","189,100","179,000","166,800","162,500","161,200","155,200","167,300","173,800","177,600","178,900","183,700","188,600","189,500","182,000","171,700","171,400","173,500","173,900","162,700","152,000","143,800","143,100","142,100","140,000","141,900","139,300",
230,2020,000000,,,1,55-522200,            Nondepository Credit Intermediation,"43,500","43,200","47,400","53,700","51,200","43,900","48,200","56,200","66,100","64,700","61,700","66,300","75,100","85,200","89,000","93,100","91,500","79,400","56,400","51,000","48,800","47,100","48,200","53,100","51,900","57,900","64,500","65,500","62,300","57,300","58,400",
231,2020,000000,,,1,55-522300,            Activities Related to Credit Intermediation,"14,000","14,800","17,100","19,900","19,200","16,500","18,200","21,200","27,600","29,800","30,900","31,700","34,500","42,000","47,800","53,100","52,400","41,600","31,700","32,500","32,400","33,900","36,600","39,300","39,100","42,000","42,000","42,100","41,700","40,300","42,200",
232,2020,000000,,,1,55-523000,"          Securities, Commodity Contracts & Investments","62,300","58,400","58,200","59,800","62,700","64,100","67,000","73,600","81,300","86,900","97,500","100,700","96,300","90,400","89,900","93,400","95,700","96,900","95,400","86,300","82,500","82,800","83,100","85,300","87,900","90,800","92,700","94,300","96,600","97,400","96,500",
233,2020,000000,,,1,55-523100,            Securities & Commodity Contracts,"28,600","28,700","29,500","31,000","32,900","34,000","36,000","38,700","41,700","44,800","51,100","52,700","48,200","42,400","41,600","41,700","41,300","41,600","41,400","36,600","34,300","33,800","33,400","33,800","34,100","34,500","34,200","33,600","33,500","32,900","31,500",
234,2020,000000,,,1,55-523900,            Other Financial Investment Activities,"33,200","29,100","28,200","28,200","29,200","29,600","30,400","34,200","38,900","41,300","45,500","47,100","47,500","47,500","47,700","51,200","53,900","55,000","53,700","49,400","48,200","49,000","49,700","51,400","53,700","56,300","58,500","60,600","62,900","64,300","64,800",
236,2020,000000,,,1,55-524000,          Insurance Carriers & Related Activities,"203,000","203,800","196,800","192,600","190,200","183,100","181,500","183,800","190,000","196,400","194,500","198,000","200,000","212,600","214,400","214,400","212,200","206,700","201,400","187,400","177,500","177,800","181,000","183,600","186,400","196,100","202,900","203,400","202,900","201,800","198,800",
237,2020,000000,,,1,55-524100,            Insurance Carriers,"123,400","122,700","117,200","114,900","111,500","103,400","101,300","101,500","105,800","109,600","106,600","109,200","109,400","120,000","119,500","118,700","115,500","108,500","103,800","94,800","87,300","86,500","88,100","87,600","83,500","85,300","86,400","84,400","82,000","80,600","80,500",
238,2020,000000,,,1,55-524200,"            Agencies, Broker & Other Insurance Related Act","79,600","81,100","79,600","77,700","78,600","79,700","80,100","82,300","84,200","86,800","87,900","88,800","90,600","92,600","94,900","95,700","96,700","98,300","97,600","92,500","90,200","91,400","92,900","96,100","102,900","110,700","116,500","119,000","120,900","121,300","118,400",
240,2020,000000,,,1,55-530000,        Real Estate & Rental & Leasing,"246,400","246,400","238,800","237,300","239,200","238,900","240,900","246,200","254,100","260,800","262,700","267,300","268,300","272,400","276,600","283,800","288,700","283,700","276,100","255,000","248,400","247,200","250,900","259,000","265,500","272,000","278,000","285,200","294,600","302,300","280,000",
241,2020,000000,,,1,55-531000,          Real Estate,"172,300","174,400","169,700","169,000","167,600","165,700","165,700","167,600","172,400","175,900","176,900","181,100","186,200","193,900","198,600","204,800","210,500","205,800","199,400","188,400","187,500","187,700","190,500","197,600","203,900","207,300","212,200","218,700","226,800","232,900","225,300",
242,2020,000000,,,1,55-531100,            Lessors of Real Estate,"73,800","75,600","72,800","71,300","70,600","72,300","71,900","70,900","70,600","68,900","67,700","67,000","66,200","65,700","63,900","63,100","62,700","61,900","62,000","59,700","59,000","58,400","58,500","59,500","61,400","62,500","62,900","62,500","65,600","67,600","63,400",
243,2020,000000,,,1,55-531200,            Offices of Real Estate Agents & Brokers,"36,800","36,100","35,700","36,100","34,800","33,600","33,500","34,200","36,500","37,300","39,600","41,400","43,700","47,300","51,300","55,200","58,900","55,300","49,400","42,200","40,200","39,500","40,500","43,900","45,600","45,900","46,700","48,700","51,200","53,400","52,100",
244,2020,000000,,,1,55-531300,            Activities Related to Real Estate,"61,600","62,700","61,200","61,500","62,300","59,700","60,400","62,600","65,400","69,700","69,600","72,700","76,300","80,800","83,500","86,400","88,900","88,600","88,100","86,600","88,300","89,800","91,500","94,200","97,000","99,000","102,500","107,400","110,000","111,900","109,800",
245,2020,000000,,,1,55-532000,          Rental & Leasing Services,"70,000","68,300","64,300","63,800","66,200","68,200","70,500","74,000","77,200","80,800","81,800","81,800","78,600","75,400","74,800","75,900","75,100","74,800","73,300","63,500","58,000","56,700","57,600","58,500","59,000","62,100","63,200","63,800","65,400","67,200","52,600",
246,2020,000000,,,1,55-532100,            Auto Equipment Rental & Leasing,"20,400","19,600","18,900","18,700","18,900","19,200","19,700","21,100","21,500","22,700","23,900","24,200","23,500","22,700","22,200","22,700","22,700","22,600","22,300","18,800","18,100","18,000","18,900","19,800","20,700","23,200","23,700","24,300","24,900","25,700","20,500",
247,2020,000000,,,1,55-532200,            Consumer Goods Rental,"25,700","25,100","24,000","24,500","26,400","27,200","28,700","30,000","31,400","32,900","33,800","34,100","32,400","31,100","30,900","30,500","28,500","27,800","27,700","24,500","21,300","19,500","18,400","18,000","16,700","16,500","16,700","16,200","16,000","16,200","11,000",
248,2020,000000,,,1,55-532300,            General Rental Centers,"6,300","6,400","5,900","5,800","6,400","6,700","7,200","7,700","8,400","8,700","8,600","8,300","7,800","7,500","7,400","7,300","7,100","6,900","5,800","4,600","4,100","4,000","3,800","3,800","3,700","3,400","3,400","3,300","3,200","3,000","2,400",
249,2020,000000,,,1,55-532400,            Commercial & Industrial Mach Rental & Leasing,"17,700","17,200","15,500","14,700","14,700","15,100","14,900","15,200","15,900","16,400","15,500","15,300","14,800","14,100","14,300","15,500","16,800","17,500","17,500","15,600","14,500","15,200","16,400","17,000","17,900","19,000","19,400","20,000","21,300","22,300","18,700",
251,2020,000000,540000-560000,,1,60-000000,      Professional & Business Services,"1,513,700","1,507,000","1,503,800","1,539,100","1,585,500","1,664,700","1,759,400","1,880,800","2,027,300","2,106,400","2,231,600","2,195,800","2,128,600","2,095,100","2,108,500","2,172,700","2,256,200","2,279,000","2,249,200","2,070,600","2,084,300","2,142,100","2,249,700","2,347,600","2,427,000","2,490,800","2,531,700","2,582,400","2,669,400","2,721,900","2,595,200",
252,2020,000000,,,1,60-540000,"        Professional, Scientific & Technical Services","694,200","712,000","688,100","681,800","686,300","706,400","728,300","766,500","813,100","858,500","931,500","945,800","913,700","906,600","918,500","970,000","1,026,100","1,059,400","1,077,300","1,011,300","1,013,900","1,047,100","1,099,200","1,136,800","1,167,300","1,192,100","1,211,900","1,238,200","1,282,300","1,332,100","1,303,700",
253,2020,000000,,,1,60-541100,          Legal Services,"126,800","134,300","132,000","130,400","125,000","121,400","120,000","120,000","123,500","125,800","127,700","132,800","135,500","139,100","138,300","140,300","138,800","137,900","136,700","132,800","131,100","131,500","132,200","133,300","133,100","135,200","137,900","139,400","141,600","143,700","140,800",
254,2020,000000,,,1,60-541200,"          Accounting, Tax Preparation & Bookkeeping Services","106,600","116,500","108,300","102,600","102,000","104,300","107,100","111,300","107,500","102,000","99,500","104,300","104,200","104,700","103,500","109,900","121,200","125,100","119,600","113,600","112,600","115,200","120,300","123,800","125,800","128,500","124,900","125,000","129,300","132,100","125,900",
255,2020,000000,,,1,60-541300,"          Architectural, Engineering & Related Services","126,600","124,600","117,600","114,600","114,600","116,600","118,400","123,300","134,400","145,400","155,000","156,500","152,700","147,600","150,900","162,400","171,400","176,800","177,200","160,500","152,400","153,100","156,500","159,600","163,500","163,900","168,300","173,200","180,000","186,200","183,700",
256,2020,000000,,,1,60-541400,          Specialized Design Services,"17,000","16,400","15,500","15,000","16,000","17,900","18,300","18,700","20,700","21,500","23,300","24,200","23,300","22,900","23,200","24,700","27,200","28,200","27,700","20,500","19,200","19,700","19,600","20,600","22,100","22,700","23,200","23,800","24,300","24,800","23,000",
257,2020,000000,,,1,60-541500,          Computer Systems Design & Related Services,"67,100","77,000","81,900","82,100","88,900","99,700","114,100","131,900","147,000","167,900","207,000","204,800","177,400","169,100","168,800","175,900","187,500","199,200","205,500","194,900","199,900","212,900","228,500","243,900","263,600","285,100","295,900","311,400","325,200","341,900","339,100",
258,2020,000000,,,1,60-541600,"          Mgmt, Scientific & Technical Consulting Services","70,000","64,700","61,000","62,300","63,000","63,700","67,100","71,300","78,400","86,200","99,300","103,400","106,500","114,200","123,300","140,000","156,400","164,200","171,700","161,200","166,900","176,300","194,600","203,900","202,100","195,000","199,800","199,000","203,600","210,700","202,900",
259,2020,000000,,,1,60-541700,          Scientific Research & Development Services,"85,400","77,900","72,000","73,200","72,900","74,800","72,800","77,800","83,500","87,200","92,100","95,800","97,200","97,700","97,200","100,500","102,400","103,600","112,000","110,700","113,800","115,700","120,800","123,000","125,200","129,000","125,300","128,900","138,900","151,700","159,300",
260,2020,000000,,,1,60-541800,          Advertising & Related Services,"54,000","53,000","51,200","54,300","56,100","59,000","60,700","62,300","65,800","68,800","71,800","67,100","61,800","59,100","59,000","60,700","63,300","64,400","65,200","57,800","56,200","58,800","60,100","61,700","63,700","64,700","66,000","65,300","65,300","65,100","56,800",
261,2020,000000,,,1,60-541900,"          Other Prof., Scientific & Technical Services","40,700","47,600","48,600","47,400","47,900","49,000","49,800","50,100","52,300","53,700","55,800","56,900","55,100","52,400","54,400","55,600","58,100","60,000","61,600","59,400","61,900","63,900","66,500","67,000","68,200","68,000","70,700","72,100","74,200","75,900","72,200",
262,2020,000000,,,1,60-550000,        Management of Companies & Enterprises,"184,400","195,800","209,800","219,600","225,300","231,300","241,900","273,100","295,200","303,700","301,400","291,500","274,200","256,100","240,900","232,500","224,600","220,300","219,900","210,200","208,800","213,500","219,800","231,500","236,000","237,700","236,800","247,000","255,800","255,700","243,700",
263,2020,000000,,,1,60-560000,        Administrative & Support & Waste Services,"635,200","599,300","606,000","637,600","674,000","727,000","789,200","841,200","919,000","944,200","998,700","958,600","940,800","932,400","949,000","970,200","1,005,500","999,300","952,100","849,100","861,600","881,500","930,700","979,300","1,023,800","1,061,100","1,083,000","1,097,200","1,131,400","1,134,000","1,047,800",
264,2020,000000,,,1,60-561000,          Administrative & Support Services,"604,700","569,200","575,700","606,400","642,200","694,400","756,300","808,200","884,900","909,800","964,000","923,200","905,500","896,100","910,900","931,300","966,100","958,700","910,300","808,600","821,300","840,100","887,900","934,300","977,200","1,013,700","1,034,800","1,047,500","1,079,300","1,080,800","995,800",
265,2020,000000,,,1,60-561100,            Office Administrative Services,"31,300","29,900","30,300","31,100","31,500","32,200","33,800","32,900","33,700","32,800","33,800","37,200","40,400","45,400","51,000","57,800","63,000","66,400","68,100","67,500","70,400","69,800","71,500","74,900","73,500","72,500","74,000","73,600","71,900","73,200","69,700",
266,2020,000000,,,1,60-561200,            Facilities Support Services,"4,700","4,900","5,500","6,500","8,000","7,900","8,100","8,800","10,000","11,300","9,800","10,000","10,600","11,300","12,000","12,000","13,200","14,200","14,200","12,600","11,900","11,000","11,500","12,600","13,400","14,000","14,300","14,200","14,100","13,700","13,000",
267,2020,000000,,,1,60-561300,            Employment Services,"225,600","196,600","204,000","227,400","255,700","289,100","334,300","372,500","433,300","445,700","494,700","443,100","424,800","418,100","422,600","428,700","447,900","433,900","387,600","318,800","331,800","344,600","375,600","405,500","437,500","459,200","464,100","466,500","486,900","476,900","427,100",
268,2020,000000,,,1,60-561400,            Business Support Services,"49,800","49,500","48,400","49,300","49,800","53,200","53,600","56,300","59,800","58,400","56,400","58,400","59,900","61,100","61,200","59,600","59,400","58,000","55,700","53,200","56,300","55,400","56,300","57,200","58,400","58,600","59,400","60,200","60,200","59,100","53,900",
269,2020,000000,,,1,60-561500,            Travel Arrangement & Reservation Services,"37,900","37,600","37,000","36,400","37,600","37,900","38,000","39,800","40,800","41,200","40,900","40,300","36,100","30,700","29,300","29,600","28,300","27,800","25,700","21,300","20,100","19,300","19,700","20,800","22,100","23,400","24,200","24,400","24,700","24,900","17,300",
270,2020,000000,,,1,60-561600,            Investigation & Security Services,"79,500","78,700","79,700","83,300","85,200","91,300","96,300","99,400","101,400","104,500","105,500","105,800","110,100","108,100","108,600","109,700","112,700","115,600","119,900","113,400","110,700","115,600","120,200","123,800","129,900","135,800","140,300","143,900","149,000","151,500","144,600",
271,2020,000000,,,1,60-561700,            Services to Buildings & Dwellings,"142,700","141,700","139,400","142,500","143,500","150,700","160,200","166,500","174,200","185,800","191,800","198,100","194,600","193,700","198,200","206,100","212,400","214,200","211,400","197,200","195,200","197,400","202,700","208,400","212,500","220,800","228,600","233,400","240,100","246,800","241,900",
272,2020,000000,,,1,60-561900,            Other Support Services,"31,300","28,800","29,900","28,600","29,600","30,800","30,600","30,400","30,000","28,200","31,000","30,400","28,900","27,700","27,900","27,800","29,200","28,700","27,800","24,500","24,800","26,900","30,400","31,100","30,000","29,500","29,900","31,400","32,300","34,700","28,400",
273,2020,000000,,,1,60-562000,          Waste Management & Remediation Services,"30,500","30,100","30,300","31,100","31,900","32,600","32,900","33,000","34,000","34,400","34,700","35,400","35,300","36,300","38,100","38,900","39,400","40,600","41,800","40,600","40,400","41,500","42,800","45,000","46,600","47,400","48,100","49,700","52,000","53,200","52,000",
274,2020,000000,610000-620000,,1,65-000000,      Educational & Health Services,"1,162,700","1,207,300","1,242,200","1,251,800","1,272,600","1,302,100","1,335,200","1,372,600","1,430,800","1,480,200","1,506,700","1,573,700","1,650,700","1,728,500","1,785,600","1,838,900","1,887,500","1,966,400","2,051,500","2,114,200","2,131,900","2,162,700","2,232,600","2,308,600","2,377,900","2,464,600","2,552,900","2,650,300","2,722,200","2,807,200","2,731,600",
275,2020,000000,,,1,65-610000,        Educational Services,"186,800","178,200","174,300","172,400","176,400","183,300","190,000","194,100","204,000","212,400","222,100","228,700","235,900","247,500","251,200","259,600","263,900","274,800","285,300","288,200","292,700","307,800","317,200","327,400","339,600","347,400","354,700","363,600","373,600","383,100","347,900",
276,2020,000000,,,1,65-611100,          Elementary & Secondary Schools,"55,000","54,600","53,900","51,900","50,600","52,700","53,800","53,900","57,100","58,900","61,000","62,600","65,400","67,900","67,600","68,400","69,300","73,100","76,100","74,600","63,900","68,400","71,300","77,900","84,600","88,200","90,800","93,600","95,600","97,800","90,800",
277,2020,000000,,,1,65-611200,          Junior Colleges,"2,800","2,800","2,800","2,700","2,800","2,200","2,400","2,600","2,800","3,200","3,500","4,200","4,300","4,600","4,900","5,800","6,600","6,500","6,700","6,600","7,400","8,200","7,500","6,300","5,400","4,200","3,200","2,500","2,600","2,600","2,300",
278,2020,000000,,,1,65-611300,"          Colleges, Universities & Professional Schools","85,300","80,300","77,400","76,400","79,500","84,100","86,900","88,600","91,800","94,500","95,900","98,000","100,500","107,300","106,800","110,400","111,000","114,600","115,500","118,500","128,500","134,300","138,800","142,600","146,600","149,500","151,900","154,900","158,100","159,100","152,300",
279,2020,000000,,,1,65-611600,          Other Schools & Instruction,"15,900","15,800","16,600","17,600","19,200","20,000","21,800","22,800","24,700","26,900","29,000","31,200","33,200","35,000","37,000","39,200","40,400","43,600","47,100","47,400","50,300","53,700","55,400","57,700","59,600","61,600","65,300","68,500","71,500","76,000","60,100",
281,2020,000000,,,1,65-620000,        Health Care & Social Assistance,"975,900","1,029,200","1,067,900","1,079,400","1,096,200","1,118,800","1,145,300","1,178,500","1,226,800","1,267,800","1,284,600","1,345,000","1,414,900","1,480,900","1,534,400","1,579,200","1,623,500","1,691,600","1,766,200","1,825,900","1,839,200","1,855,000","1,915,400","1,981,200","2,038,300","2,117,200","2,198,200","2,286,700","2,348,600","2,424,100","2,383,700",
282,2020,000000,,,1,65-621000,            Ambulatory Health Care Services,"382,200","403,700","422,200","425,400","432,000","442,500","450,100","458,500","467,500","479,300","489,900","504,000","520,100","527,500","542,600","555,100","568,700","586,500","609,000","620,100","643,900","662,500","687,300","707,200","727,500","759,200","786,300","813,600","839,100","872,300","846,300",
283,2020,000000,,,1,65-621100,               Offices of Physicians,"133,100","141,800","148,700","146,900","145,200","145,900","144,800","146,900","149,400","157,800","162,500","168,500","167,800","158,100","162,200","163,700","166,500","171,200","178,500","182,700","194,800","200,700","208,000","212,500","218,700","230,300","237,600","240,400","240,200","242,400","235,200",
284,2020,000000,,,1,65-621200,               Offices of Dentists,"71,500","75,100","76,700","77,800","80,200","83,300","85,900","88,000","91,200","94,000","96,500","98,900","102,000","105,900","107,400","109,000","110,400","112,100","113,600","111,600","111,400","113,100","115,200","117,700","120,700","123,600","126,500","128,800","131,600","135,200","117,100",
285,2020,000000,,,1,65-621300,               Offices of Other Health Practitioners,"41,100","44,600","47,300","47,700","47,900","48,400","46,800","46,500","47,900","47,300","48,300","50,100","53,800","56,100","56,600","56,200","57,600","58,900","61,500","62,900","63,800","65,000","67,600","70,200","73,400","79,500","84,600","91,600","98,100","105,800","99,900",
286,2020,000000,,,1,65-621400,               Outpatient Care Centers,"87,800","89,900","93,700","94,700","96,700","98,300","101,500","103,900","106,900","109,200","112,900","114,900","119,500","125,100","128,700","132,600","135,500","138,900","144,700","148,400","154,300","159,600","165,200","169,500","174,300","181,100","191,700","201,800","213,200","225,400","228,700",
287,2020,000000,,,1,65-621500,               Medical & Diagnostic Laboratories,"17,600","17,600","18,500","18,300","17,700","17,200","17,800","17,600","17,600","18,600","18,800","19,600","20,200","21,400","23,100","24,300","24,500","26,200","27,000","28,400","30,700","30,800","31,600","32,100","32,600","33,900","34,200","35,300","36,100","37,800","37,400",
288,2020,000000,,,1,65-621600,               Home Health Care Services,"18,900","21,800","24,000","26,800","30,400","35,000","38,300","39,400","38,700","36,300","34,500","35,000","38,500","41,800","45,300","48,800","53,000","56,400","59,700","61,900","65,000","68,200","74,100","79,300","81,700","84,000","83,500","87,000","90,800","95,600","98,700",
289,2020,000000,,,1,65-621900,               Other Ambulatory Health Care Services,"12,300","12,900","13,200","13,200","13,900","14,400","15,100","16,100","15,900","16,100","16,500","17,100","18,300","19,000","19,500","20,500","21,300","22,800","24,000","24,100","24,100","25,000","25,500","25,900","26,200","26,900","28,200","28,700","29,100","30,100","29,300",
290,2020,000000,,,1,65-622000,            Hospitals,"286,100","295,700","299,300","298,800","295,300","290,800","296,000","303,100","307,300","314,100","308,900","312,100","327,100","343,200","349,700","352,800","354,000","364,700","373,000","377,800","370,900","371,300","374,100","371,600","372,900","377,100","388,300","396,500","400,700","404,600","400,500",
291,2020,000000,,,1,65-622100,               General Medical & Surgical Hospitals,"271,900","281,000","282,700","283,300","280,800","275,200","281,600","288,400","291,400","298,900","295,800","298,100","312,100","328,000","334,200","336,700","336,900","346,200","354,900","360,800","352,200","351,200","353,700","352,100","353,100","357,000","367,100","373,500","377,200","380,400","376,500",
292,2020,000000,,,1,65-622200,               Psychiatric & Substance Abuse Hospitals,"9,200","8,500","10,100","9,100","8,500","8,600","7,000","6,800","8,100","8,200","6,200","6,200","6,800","7,000","7,100","7,300","7,900","8,300","7,500","5,900","6,300","6,800","7,100","7,000","7,000","7,000","7,600","8,400","8,400","8,400","8,300",
293,2020,000000,,,1,65-622300,"               Specialty (not Psych, Sub Abuse) Hospitals","5,000","6,200","6,400","6,300","6,000","7,000","7,400","7,900","7,800","7,100","6,900","7,800","8,200","8,200","8,300","8,800","9,300","10,200","10,600","11,200","12,400","13,300","13,300","12,500","12,800","13,200","13,600","14,600","15,200","15,700","15,700",
294,2020,000000,,,1,65-623000,            Nursing & Residential Care Facilities,"154,800","160,200","164,900","170,900","176,300","184,300","189,400","193,000","198,100","200,300","208,900","219,300","226,000","227,800","223,400","221,700","224,700","232,000","240,100","245,000","248,900","256,100","260,900","269,100","279,100","287,300","292,500","297,800","301,900","306,700","297,000",
295,2020,000000,,,1,65-623100,               Nursing Care Facilities,"82,000","81,200","81,600","84,300","86,700","88,000","92,800","91,900","94,200","92,500","94,300","98,000","100,400","101,700","101,300","102,100","104,000","107,400","113,000","117,400","119,600","121,900","122,500","127,500","132,700","134,800","136,900","137,200","138,200","140,100","132,100",
296,2020,000000,,,1,65-623200,               Residential Intellectual & Dev Disability,"31,400","34,200","37,400","39,100","42,200","46,200","45,000","47,500","46,800","49,000","52,800","55,300","55,500","54,200","50,400","47,100","46,000","46,400","46,700","45,200","45,300","46,300","46,500","46,500","47,700","50,600","52,100","54,000","55,100","56,000","56,700",
297,2020,000000,,,1,65-623300,               Community Care Facilities for the Elderly,"31,400","35,000","35,800","36,500","35,500","36,900","37,100","38,100","40,700","41,400","44,000","46,400","49,200","51,100","52,100","53,700","57,000","60,900","63,600","66,300","69,100","73,200","77,400","80,900","84,500","88,300","90,200","93,300","95,800","98,500","96,600",
298,2020,000000,,,1,65-623900,               Other Residential Care Facilities,"9,900","9,900","10,100","11,000","12,000","13,300","14,400","15,500","16,500","17,500","17,800","19,500","20,800","20,800","19,700","18,900","17,700","17,300","16,800","16,000","14,800","14,700","14,500","14,200","14,200","13,700","13,300","13,300","12,800","12,200","11,700",
299,2020,000000,,,1,65-624000,            Social Assistance,"152,800","169,500","181,400","184,300","192,700","201,200","209,700","223,900","253,900","274,100","276,900","309,600","341,700","382,500","418,700","449,700","476,100","508,400","544,100","583,000","575,500","565,100","593,200","633,300","658,900","693,500","731,100","778,700","806,900","840,500","839,900",
300,2020,000000,,,1,65-624100,               Individual & Family Services,"80,200","89,200","97,400","95,900","103,400","108,600","116,900","130,300","154,000","169,000","169,700","196,300","227,300","269,700","306,100","336,100","362,500","392,200","426,700","467,800","461,500","451,200","478,700","516,400","539,600","571,500","605,200","647,800","673,900","704,300","722,300",
301,2020,000000,,,1,65-624200,               Community Emergency & Other Relief Services,"8,800","9,200","9,200","9,600","10,100","10,500","11,200","11,000","11,500","12,300","12,800","14,100","14,600","14,000","14,300","14,600","15,200","15,700","16,100","15,900","15,900","16,200","16,600","17,100","17,700","18,800","19,600","20,500","20,900","22,200","23,700",
302,2020,000000,,,1,65-624300,               Vocational Rehabilitation Services,"24,700","28,200","29,700","29,900","31,000","32,500","31,300","31,200","33,500","36,200","36,100","37,700","36,900","36,200","35,200","35,300","34,400","35,200","35,300","35,400","34,400","34,000","34,300","35,300","35,400","35,000","35,800","37,600","36,700","36,100","30,100",
303,2020,000000,,,1,65-624400,               Child Day Care Services,"39,000","42,800","45,100","48,900","48,200","49,600","50,300","51,500","54,900","56,600","58,300","61,600","62,900","62,700","63,100","63,600","64,000","65,400","66,000","64,000","63,700","63,700","63,600","64,500","66,200","68,100","70,500","72,900","75,400","77,900","63,800",
304,2020,000000,710000-720000,,1,70-000000,      Leisure & Hospitality,"1,106,400","1,121,700","1,116,200","1,126,800","1,146,600","1,184,700","1,227,400","1,239,000","1,265,700","1,300,400","1,336,400","1,366,000","1,383,300","1,400,800","1,440,000","1,475,400","1,519,100","1,560,100","1,572,400","1,502,900","1,500,800","1,534,800","1,597,400","1,675,200","1,757,100","1,829,300","1,902,900","1,953,600","1,993,200","2,036,300","1,477,600",
305,2020,000000,,,1,70-710000,"          Arts, Entertainment & Recreation","187,700","183,100","177,100","180,600","181,800","189,000","195,100","198,800","204,900","214,500","216,500","222,800","229,800","232,200","236,700","238,400","244,400","251,000","254,000","244,100","242,100","245,800","254,900","264,900","274,700","284,900","300,000","306,800","316,200","329,800","206,800",
306,2020,000000,,,1,70-711000,"            Performing Arts, Spectator Sports","71,900","69,700","61,500","59,700","52,400","50,300","48,000","49,600","49,900","53,200","58,000","56,600","58,200","59,300","59,600","60,000","63,100","63,900","63,600","61,200","59,400","60,400","62,200","65,100","68,300","68,900","75,100","76,300","79,200","83,200","59,200",
307,2020,000000,,,1,70-711100,              Performing Arts Companies,"36,500","38,000","32,500","29,500","22,900","19,400","16,000","16,400","15,700","16,300","16,900","16,200","15,900","16,000","16,400","15,500","15,200","15,200","15,300","14,200","13,600","13,900","13,900","13,900","14,100","14,100","14,900","15,200","15,100","15,500","9,700",
308,2020,000000,,,1,70-711200,              Spectator Sports,"13,200","12,600","10,800","10,100","10,500","10,400","10,800","11,800","12,200","12,700","14,700","13,900","13,900","14,800","15,100","14,500","14,800","15,400","15,600","15,300","14,800","14,600","15,300","15,100","14,800","15,200","15,500","15,900","16,700","16,800","10,900",
309,2020,000000,,,1,70-711500,"              Independent Artists, Writers & Performers","11,600","10,700","10,600","11,800","10,700","11,400","11,900","12,200","11,900","13,200","14,400","14,100","15,300","15,800","14,600","15,100","16,400","16,200","16,200","15,100","15,000","15,900","16,200","16,400","15,900","14,700","14,900","14,700","15,000","16,200","14,500",
311,2020,000000,,,1,70-712000,"            Museums, Historical Sites & Similar Institutions","8,500","7,300","7,100","7,500","8,100","8,400","9,300","10,400","10,800","11,500","11,900","12,600","12,800","13,100","13,000","13,300","13,500","14,300","15,100","15,100","15,200","15,500","16,200","16,800","17,400","18,000","18,800","19,400","19,700","20,200","15,700",
312,2020,000000,,,1,70-713000,"          Amusement, Gambling & Recreation Industries","107,300","106,100","108,600","113,400","121,300","130,300","137,800","138,800","144,300","149,800","146,600","153,600","158,700","159,800","164,100","165,000","167,800","172,800","175,300","167,900","167,500","169,900","176,500","183,100","189,000","198,100","206,100","211,100","217,300","226,500","131,900",
313,2020,000000,,,1,70-713100,            Amusement Parks & Arcades,"19,700","18,200","18,500","20,000","20,300","21,200","22,000","21,200","23,000","24,600","24,700","29,200","31,900","31,800","32,800","32,200","32,000","33,500","36,000","34,800","34,900","36,200","39,500","42,100","43,300","45,500","46,700","46,000","47,900","50,200","22,700",
314,2020,000000,,,1,70-713200,            Gambling Industries,"7,500","7,400","8,200","9,600","12,600","16,500","19,500","20,000","19,200","20,600","13,900","11,600","11,800","11,600","12,200","13,600","14,300","14,700","14,700","14,300","13,900","13,800","14,200","14,200","14,500","15,300","16,100","16,900","16,700","16,300","7,700",
