Unnamed: 0,Jan-15,2015,2016,2017,2018,2019,2020,2021
0,21450.0,21533.333333333332,21567.5,21383.333333333332,21189.166666666668,20930.833333333332,20039.166666666668,19797.272727272728
1,19620.0,20006.666666666668,20220.0,20223.333333333332,20194.166666666668,19967.5,17954.166666666668,18357.272727272728
2,1830.0,1527.5,1346.6666666666667,1161.6666666666667,995.0,965.0,2085.0,1440.0
3,8.5,7.075,6.233333333333333,5.425000000000001,4.7,4.6,10.441666666666668,7.254545454545454
32,7600.0,7890.833333333333,7850.833333333333,7769.166666666667,7816.666666666667,7878.333333333333,7559.166666666667,7680.0
33,6490.0,7077.5,7085.0,7075.0,7220.833333333333,7260.833333333333,6753.333333333333,7008.181818181818
34,1120.0,815.8333333333334,765.0,695.0,596.6666666666666,615.8333333333334,807.5,671.8181818181819
35,14.7,10.416666666666666,9.850000000000001,9.041666666666668,7.716666666666666,7.925,10.683333333333332,8.836363636363636
62,9820.0,9856.666666666666,9756.666666666666,9703.333333333334,9713.333333333334,9617.5,9350.0,9395.454545454546
63,8840.0,9010.833333333334,9019.166666666666,9074.166666666666,9154.166666666666,9055.0,8467.5,8700.90909090909
64,980.0,846.6666666666666,736.6666666666666,629.1666666666666,560.0,565.0,884.1666666666666,695.4545454545455
65,10.0,8.599999999999998,7.550000000000001,6.474999999999999,5.766666666666666,5.875,9.499999999999998,7.409090909090909
87,203300.0,204866.66666666666,207283.33333333334,208083.33333333334,209058.33333333334,208058.33333333334,202800.0,202118.18181818182
88,188800.0,192225.0,195816.66666666666,198083.33333333334,200758.33333333334,200083.33333333334,183591.66666666666,187481.81818181818
89,14400.0,12633.333333333334,11433.333333333334,10000.0,8300.0,8008.333333333333,19208.333333333332,14636.363636363636
90,7.1,6.166666666666667,5.508333333333333,4.816666666666666,3.958333333333334,3.8416666666666663,9.508333333333331,7.236363636363635
135,27500.0,27733.333333333332,28150.0,28733.333333333332,29233.333333333332,29725.0,30041.666666666668,29954.545454545456
136,24300.0,25133.333333333332,25716.666666666668,26583.333333333332,27341.666666666668,27900.0,26883.333333333332,27418.18181818182
137,3100.0,2583.3333333333335,2450.0,2150.0,1883.3333333333333,1841.6666666666667,3150.0,2518.181818181818
138,11.5,9.358333333333333,8.641666666666667,7.4750000000000005,6.466666666666668,6.2250000000000005,10.533333333333333,8.481818181818182
160,811500.0,819016.6666666666,831816.6666666666,838700.0,841483.3333333334,841083.3333333334,813800.0,805909.0909090909
161,767600.0,779891.6666666666,796025.0,807658.3333333334,815691.6666666666,815883.3333333334,742416.6666666666,757345.4545454546
162,43900.0,39108.333333333336,35791.666666666664,31041.666666666668,25783.333333333332,25191.666666666668,71383.33333333333,48572.72727272727
163,5.4,4.7749999999999995,4.324999999999999,3.6999999999999993,3.0666666666666664,3.0,8.825000000000001,6.027272727272728
196,7540.0,8011.666666666667,7567.5,7659.166666666667,7650.833333333333,7620.833333333333,7162.5,7280.0
197,6750.0,7438.333333333333,7048.333333333333,7208.333333333333,7240.0,7267.5,6380.833333333333,6733.636363636364
198,790.0,577.5,520.0,450.8333333333333,411.6666666666667,355.0,780.0,546.3636363636364
199,10.5,7.274999999999999,6.925000000000001,5.974999999999999,5.408333333333332,4.691666666666667,10.924999999999999,7.590909090909091
224,681900.0,684583.3333333334,693958.3333333334,696941.6666666666,704191.6666666666,710158.3333333334,707191.6666666666,710418.1818181818
225,635000.0,643291.6666666666,656366.6666666666,664191.6666666666,676783.3333333334,683550.0,641625.0,661509.0909090909
226,46800.0,41275.0,37625.0,32750.0,27400.0,26616.666666666668,65558.33333333333,48900.0
227,6.9,6.033333333333334,5.433333333333334,4.691666666666666,3.8916666666666675,3.741666666666666,9.291666666666666,6.881818181818181
259,962800.0,975650.0,997108.3333333334,1008633.3333333334,1017658.3333333334,1035883.3333333334,989933.3333333334,984009.0909090909
260,923800.0,940891.6666666666,965250.0,979841.6666666666,993816.6666666666,1013366.6666666666,916658.3333333334,936936.3636363636
261,39100.0,34766.666666666664,31858.333333333332,28800.0,23833.333333333332,22516.666666666668,73275.0,47072.72727272727
262,4.1,3.5749999999999997,3.183333333333333,2.8666666666666667,2.3416666666666663,2.1833333333333336,7.483333333333332,4.8
351,137800.0,138683.33333333334,139641.66666666666,139725.0,139708.33333333334,138575.0,130133.33333333333,132227.27272727274
352,132200.0,133708.33333333334,135041.66666666666,135683.33333333334,136275.0,135308.33333333334,121475.0,126509.09090909091
353,5600.0,4975.0,4600.0,4041.6666666666665,3416.6666666666665,3275.0,8658.333333333334,5718.181818181818
354,4.1,3.5749999999999997,3.283333333333333,2.891666666666666,2.4583333333333335,2.358333333333334,6.766666666666666,4.327272727272727
390,1049200.0,1052975.0,1068508.3333333333,1074700.0,1088383.3333333333,1098800.0,1087850.0,1093809.0909090908
391,977900.0,990891.6666666666,1011966.6666666666,1025450.0,1047041.6666666666,1058391.6666666667,993308.3333333334,1024400.0
392,71300.0,62075.0,56550.0,49250.0,41350.0,40408.333333333336,94541.66666666667,69436.36363636363
393,6.8,5.883333333333333,5.316666666666667,4.583333333333333,3.7833333333333337,3.6666666666666665,8.725,6.345454545454547
475,29600.0,29750.0,30450.0,30608.333333333332,31208.333333333332,32250.0,31516.666666666668,31390.909090909092
476,26800.0,27483.333333333332,28383.333333333332,28841.666666666668,29608.333333333332,30633.333333333332,28391.666666666668,29127.272727272728
477,2800.0,2266.6666666666665,2033.3333333333333,1775.0,1591.6666666666667,1625.0,3116.6666666666665,2281.818181818182
